,labels,text,label_text
0,5,"That this House expresses deep concern that the Government, in implementing its review of the National Health Service, has refused to rule out extending charging for NHS services, particularly the possible imposition of prescription charges for pensioners, charges for hospital hotel services and charges for visits to general practitioners.",Welfare and Quality of Life
1,5,That this House condemns the Government's assault on pension funds through the removal of tax relief on dividend income of pension funds in direct betrayal of their election pledges,Welfare and Quality of Life
2,5,agrees with the National Association of Pension Funds that this is the biggest attack on funded pension provision since the War,Welfare and Quality of Life
3,5,believes the brunt of the cost of the Windfall Tax will also fall on pension funds,Welfare and Quality of Life
4,5,warns members of occupational schemes that they and their employers will have to increase contributions to maintain benefits,Welfare and Quality of Life
5,5,further warns personal pension holders that they will need to pay higher premiums or suffer significantly lower pensions,Welfare and Quality of Life
6,5,believes the Government is guilty of mis-selling personal pensions if it refuses to spell out how much this tax change will cost pension holders,Welfare and Quality of Life
7,5,demands that the Government increases the contracted out rebate to avoid large-scale contracting back into SERPS,Welfare and Quality of Life
8,3," deplores the total absence of consultation about these far-reaching changes in company and pension taxation which has resulted in shoddy, hastily prepared and ill-thought-out proposals",Political System
9,5,and calls for the Government to withdraw these measures until it has prepared a Green Paper on future reform of company taxation and its implications for pension provision.,Welfare and Quality of Life
10,4,That this House expresses its concern about the economic and environmental pressures currently affecting the rural economy and rural life,Economy
11,7," calls upon Her Majesty's Government to respond to this situation by protecting farmers from the effects of the appreciation of sterling, withdrawing the Government-imposed ceiling on the weight of cattle entering the BSE over thirty months scheme and undertaking without precondition discussions with farmers and their representatives about the level of payments to be made through the 1997â?8 Hill Livestock Compensatory Allowances scheme",Social Group
12,4," and condemns the proposals to extend access to the countryside by means of a legal right to roam rather than voluntary agreement, not to introduce policies to protect small village shops and rural post offices, to create urban-based regional development agencies, to weaken planning controls designed to protect the Green Belt and the countryside, and to threaten the pursuit of traditional country sports.",Economy
13,5,"That this House believes that Britain's key public services, in particular education, health and social care, have been underfunded and undermined by 18 years of Conservative rule",Welfare and Quality of Life
14,5," condemns the Government for continuing Conservative spending plans and council-capping and for spending less in the present year in real terms on education, health and social services",Welfare and Quality of Life
15,5," expresses alarm at the effect of the last budget inflation forecast, which will reduce the real value of government spending plans for next year by around Â£5.3 billion",Welfare and Quality of Life
16,5," believes that the cumulative effects of government policies will be larger classes, longer waiting times, and less care and treatment, when what the public services need is to be rescued from the vicious circle of cost shunting and crisis management, with sufficient resources to allow the raising of quality and standards for all",Welfare and Quality of Life
17,5," and calls on the Government urgently to put the necessary resources into public services, by such measures as switching monies from other departments and by limited but targeted and earmarked increases in taxation.",Welfare and Quality of Life
18,7,"That this House takes note of the unnumbered Explanatory Memorandum submitted by the Ministry of Agriculture, Fisheries and Food on 8th December 1997 relating to the fixing of total allowable catches for 1998 and certain conditions under which they may be fished: and supports the Government's intentions to negotiate the best possible fishing opportunities for British fishermen based on sustainable fisheries management, effective enforcement and the need to ensure that the regional differences of fisheries and their communities are fully recognised.",Social Group
19,5,"That this House, believing that both parents have responsibility for the financial and emotional welfare of their children during the whole of their childhood, that the taxpayer should only be called upon to provide income-related benefits to support children financially when neither parent has sufficient resources to provide that support, that it is in the best interests of children if the system of child support encourages their parents to agree voluntarily and then put into practice a financial arrangement for the maintenance of those children which is fair to those children, both parents and the taxpayer, and that the Child Support Agency has failed to meet these objectives, supports the repeal of the rigidly formula-based Child Support Act and its replacement by a system of child support which encourages parental responsibility, enhances work incentives, takes due account of the cost to the taxpayer, includes an effective right of appeal, and is flexible enough to produce a fair outcome for families whatever their circumstances.",Welfare and Quality of Life
20,4,That this House welcomes the success of TESSAs and PEPs in extending popular saving and deplores the Government's proposal to abolish them and replace them with Individual Savings Accounts (ISAs),Economy
21,4," condemns the retrospective taxation of the most prudent savers who have accumulated more than Â£50,000",Economy
22,3," believes that ISAs will involve high administrative costs, especially because of the unnecessary and unfair lifetime limit on tax-free saving",Political System
23,4," and urges the Government to bring forward new proposals that would not involve retrospective taxation, would build on PEPs and TESSAs, would reduce the costs of administering the schemes and would not involve a lifetime limit on the amount that may be invested.",Economy
24,4,"That this House notes the TUC forecast of 200,000 job losses in manufacturing resulting from this Government's economic policies, the fact that so many manufacturers have to make representations about export and trading problems, the absence of a stable and competitive exchange rate, the damage done by tax increases imposed on business and the forthcoming wage and labour relations problems coming from the Government's social and labour law agenda",Economy
25,4," and urges the Government to put the interests of manufacturing business higher up its agenda, changing policies before factories close and jobs are lost.",Economy
26,3,That this House deplores the muddle of government policy towards Sierra Leone over the last year,Political System
27,3," notes the contradictory statements made on this matter by the Prime Minister, the Foreign Secretary and the Permanent Under-Secretary at the Foreign and Commonwealth Office",Political System
28,3," stresses the importance of establishing what knowledge and involvement there was on the part of government ministers, officials and officers of the intelligence services of and in the activities of Sandline International, including possible breaches of both international and United Kingdom law",Political System
29,3," and calls on the Government to announce without delay that it will establish a public inquiry into this question, presided over by a judge to be nominated by the Lord Chief Justice.",Political System
30,5,That this House notes with regret the increase in National Health Service hospital waiting lists since May 1997,Welfare and Quality of Life
31,5,deplores the failure of Her Majesty's Government to achieve implementation of its promise of an early reduction of such lists,Welfare and Quality of Life
32,5,notes that current Government policies in respect of hospital closures and bed reductions are likely to increase the lists further,Welfare and Quality of Life
33,5,notes that the proposals to abolish fundholding and reduce flexibility for general practitioners in purchasing health care for their patients will also add to the lists,Welfare and Quality of Life
34,5,and urges the Government to reconsider these changes.,Welfare and Quality of Life
35,3,That this House deeply regrets the Government's failure to meet their election pledges to reduce social security costs,Political System
36,3," believes that this is a direct result of incompetent leadership at the Department of Social Security which has created confusion, contradictory policies and delays and has wasted their first year in Government.",Political System
37,3,"That this House, reiterating the importance of a strong parliamentary democracy in Britain, deplores the fact that successive governments have increasingly diluted the role of Parliament by making announcements to the media before making them to this House",Political System
38,3,by undermining the legitimate revising role of the House of Lords,Political System
39,3,by giving access to lobbyists at a time when the representations of elected Members are dealt with in an increasingly dilatory fashion,Political System
40,3,by inhibiting the rights of backbenchers to make criticisms of their own side,Political System
41,3,by encouraging planted supplementary questions which fail to hold the Executive to account,Political System
42,3,and by responding to questions and arguments with meaningless soundbites and partisan rhetoric instead of constructive answers.,Political System
43,4,That this House is concerned about the continued spate of factory closures and job losses,Economy
44,4,condemns the Government's failure to take urgent action to give manufacturing a chance,Economy
45,4,believes that this Government's actions in increasing business taxes and regulation have made the position worse,Economy
46,4,asks the Government to explain how far they will go in implementing the McKinsey Report on productivity,Economy
47,4,and urges the Government to change policy before more jobs are lost.,Economy
48,6,That this House supports the Belfast Agreement and reasserts that the Agreement has to be implemented in all its parts,Fabric of Society
49,6," believes that several things must happen in parallel in order to build confidence, whether it be decommissioning or the release of prisoners",Fabric of Society
50,6,notes that the only organisations that can qualify to take seats in the government of Northern Ireland and can expect the early release of prisoners are those that have given up violence for good and that decommissioning is part of that,Fabric of Society
51,6,notes that since July over 200 terrorist prisoners have been released early while decommissioning of illegally held arms and explosives has yet to begin,Fabric of Society
52,6," and believes that there should be no further early releases of prisoners, and no place in the Northern Ireland Executive for their representatives in the Assembly, until there has been substantial and verifiable decommissioning.",Fabric of Society
53,1,"That this House regrets the display of ""absentee government"" by the Chancellor of the Exchequer in failing to be present at the official launch of the euro and in not giving a clear lead to British businesses in relation to future UK membership of the euro",External Relations
54,1,believes that the Government's failure to come to terms with the euro will undermine the prospects for exercising British leadership in Europe,External Relations
